"filename", "language", "HTML", "Markdown", "Python", "JavaScript", "Ignore", "vue", "pip requirements", "JSON", "CSS", "MS SQL", "comment", "blank", "total"
"e:\Desktop\tuixiu_protect\OA_system\vue-project\README.md", "Markdown", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 78
"e:\Desktop\tuixiu_protect\OA_system\vue-project\index.html", "HTML", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20
"e:\Desktop\tuixiu_protect\OA_system\vue-project\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1640, 0, 0, 0, 1, 1641
"e:\Desktop\tuixiu_protect\OA_system\vue-project\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\App.vue", "vue", 0, 0, 0, 0, 0, 1111, 0, 0, 0, 0, 5, 94, 1210
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\admin.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 6, 41
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\attendance.js", "JavaScript", 0, 0, 0, 419, 0, 0, 0, 0, 0, 0, 174, 93, 686
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\dbManager.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 9, 10, 73
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\departmentPolicy.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 8, 46
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\email.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\fileNumbering.js", "JavaScript", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 22, 24, 131
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\healthMonitor.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 3, 12
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\shift.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 11, 42
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\api\sso.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 16, 4, 42
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\assets\design-tokens.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 22, 31, 156
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\assets\global.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 432, 0, 26, 85, 543
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\components\AttendanceTable.vue", "vue", 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 37, 333
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\components\DateTimePicker.vue", "vue", 0, 0, 0, 0, 0, 238, 0, 0, 0, 0, 0, 33, 271
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\components\LeaveApplyModal.vue", "vue", 0, 0, 0, 0, 0, 372, 0, 0, 0, 0, 0, 19, 391
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\components\OvertimeRegisterModal.vue", "vue", 0, 0, 0, 0, 0, 368, 0, 0, 0, 0, 0, 25, 393
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\components\RecentTextInput.vue", "vue", 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 14, 194
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\components\StatCard.vue", "vue", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 18, 140
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\components\SuggestionPanel.vue", "vue", 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 26, 181
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\components\TimePicker.vue", "vue", 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 29, 214
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\components\charts\AppBarChart.vue", "vue", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 6, 52
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\main.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 6, 37
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\router\index.js", "JavaScript", 0, 0, 0, 364, 0, 0, 0, 0, 0, 0, 23, 10, 397
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\utils\chartConfig.js", "JavaScript", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 6, 3, 82
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\utils\employeeMobile.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 2, 20
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\utils\leaveDuration.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 25, 11, 113
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\utils\recordTableHelpers.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 8, 6, 60
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\utils\request.js", "JavaScript", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 7, 13, 76
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\AdminEmployeeStatus.vue", "vue", 0, 0, 0, 0, 0, 794, 0, 0, 0, 0, 4, 75, 873
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\Attendance.vue", "vue", 0, 0, 0, 0, 0, 1332, 0, 0, 0, 0, 16, 153, 1501
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\EmployeeProfile.vue", "vue", 0, 0, 0, 0, 0, 314, 0, 0, 0, 0, 1, 12, 327
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\Home.vue", "vue", 0, 0, 0, 0, 0, 1116, 0, 0, 0, 0, 4, 98, 1218
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\LeaderDashboard.vue", "vue", 0, 0, 0, 0, 0, 1045, 0, 0, 0, 0, 8, 90, 1143
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\Login.vue", "vue", 0, 0, 0, 0, 0, 877, 0, 0, 0, 0, 6, 113, 996
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\OvertimePay.vue", "vue", 0, 0, 0, 0, 0, 465, 0, 0, 0, 0, 0, 14, 479
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\Statistics.vue", "vue", 0, 0, 0, 0, 0, 1315, 0, 0, 0, 0, 15, 125, 1455
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\UploadAttendance.vue", "vue", 0, 0, 0, 0, 0, 703, 0, 0, 0, 0, 5, 92, 800
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\admin\DbManager.vue", "vue", 0, 0, 0, 0, 0, 376, 0, 0, 0, 0, 1, 23, 400
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\admin\EmailSender.vue", "vue", 0, 0, 0, 0, 0, 426, 0, 0, 0, 0, 6, 34, 466
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\admin\HealthMonitor.vue", "vue", 0, 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 10, 204
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\admin\HxpManage.vue", "vue", 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0, 12, 296
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\admin\NotificationManage.vue", "vue", 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 2, 18, 256
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\admin\YgglFill.vue", "vue", 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 12, 159
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\Approval.vue", "vue", 0, 0, 0, 0, 0, 1108, 0, 0, 0, 0, 6, 86, 1200
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\AttendanceExceptions.vue", "vue", 0, 0, 0, 0, 0, 639, 0, 0, 0, 0, 1, 57, 697
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\BusinessTrip.vue", "vue", 0, 0, 0, 0, 0, 1190, 0, 0, 0, 0, 10, 124, 1324
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\BusinessTripAllRecords.vue", "vue", 0, 0, 0, 0, 0, 426, 0, 0, 0, 0, 1, 18, 445
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\BusinessTripDeptDetail.vue", "vue", 0, 0, 0, 0, 0, 262, 0, 0, 0, 0, 0, 28, 290
