"filename", "language", "Markdown", "Python", "JavaScript", "vue", "JSON with Comments", "MS SQL", "HTML", "pip requirements", "Ignore", "JSON", "CSS", "comment", "blank", "total"
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_webconfig_admin2.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 4
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_webconfig_llm.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 2, 9
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_yggl_email_auth_code.sql", "MS SQL", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 3, 12
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_yggl_enterprise_email.sql", "MS SQL", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 2, 8
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_yggl_real_name.sql", "MS SQL", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 3, 16
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\approve_backfill_overtime.sql", "MS SQL", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 3, 23
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\backfill_overtime.py", "Python", 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50, 296
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_bianhao_scszh.sql", "MS SQL", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 2, 21
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_feedback_tables.sql", "MS SQL", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 4, 40
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_rotor_blade_balance_records.sql", "MS SQL", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_shift_schedule_email_log.sql", "MS SQL", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_shift_tables.sql", "MS SQL", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 2, 5, 67
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_tech_problem_manual.sql", "MS SQL", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\drop_shift_schedule_email_unique_key.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\export_yggl_gh_sfzh.py", "Python", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 99
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\fix_hxp_sj.py", "Python", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 70
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_employee_gh_from_excel.py", "Python", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 136
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_employee_rcnf_from_excel.py", "Python", 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21, 202
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_employee_sfzh_from_excel.py", "Python", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 134
